Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
analista de dados pleno,"São Paulo, SP",VINDI,Buscar novas fontes de informações e manter as bases de dados existentes;Identificar e implementar melhorias no processo de coleta e análise de dados;,https://tinyurl.com/y4zv2te2,pleno,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados,"São Paulo, SP",IS Entrega,Implementar novas metodologias de análise de dados.Domínio em banco de dados.Além de supervisionar a implantação e armazenagem de dados.,https://tinyurl.com/y3x29vad,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados,"São Paulo, SP",Inklua Servicos Para Inclusao de Pcd Ltda,"ATIVIDADES: Desenvolver e enviar relatórios, em Excel, SQL e Power BI, realizar levantamentos de requisitos / Mapeamento de processos, participar de reuniões ,…",https://tinyurl.com/y5ca47yt,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados - pleno,"São Paulo, SP",Semantix,"Analista de dados Pleno para levantamento de KPI's de negócio, desenvolvimento, automação e apresentação de dashboards.",https://tinyurl.com/y4l8472m,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados pleno (specialist ii),"São Paulo, SP",TransUnion,"Cuidar do processo de ingestão de dados.Experiência em SQL, ou outras linguagens de banco de dados similares.Dar suporte na integração de novas fontes.",https://tinyurl.com/y6t2v8z6,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados sr - rbrasil,"São Paulo, SP",Atento Corporate,"Atuar em processos de modelagem de dados com foco em BI;Desejável com Infra em Banco de dados, metodologias ágeis, conhecimento em modelos de negócios de…",https://tinyurl.com/y39zaxo4,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados - power center / mdm/iics - remoto,"São Paulo, SP",HOLDEN Recruiting Talents,O profissional fará parte do time de extração e integração de dados de grande empresa no mercado.Empresa de Consultoria de Grande porte.BI( mais de 3 anos);,https://tinyurl.com/yyz3kxl5,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados sao paulo / sp,"São Paulo, SP",Grupo Zap,Experiência consolidada como analista de dados ou analista de business intelligence;Conhecimentos de melhores práticas de visualização de dados;,https://tinyurl.com/y6n3z7lm,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados google analytics pleno,"São Paulo, SP",GeekHunter,Análise e inteligência de dados.Acompanhamento de KPIs de vendas e detecção de problemas e oportunidades para direcionamento de decisões estratégicas.,https://tinyurl.com/yxefy96n,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados senior (people analytics),"São Paulo, SP",TOTVS,Atuar em problemas e melhorias de dados de RH de complexidade média garantindo o padrão de qualidade de entrega do projeto.Plano de saúde e odontológico;,https://tinyurl.com/y2bltrnj,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
