Cargo,Local,Empresa,Descricao,Link
Engenheiro de Dados Pleno,"São Paulo, SP",Vitta,Conhecimentos em modelagem de dados;Conhecimento em bancos de dados estruturados;Ter a oportunidade de impactar a saúde de milhões de brasileiros.,https://tinyurl.com/y6j8com9
engenheiro(a) de dados sênior,"São Paulo, SP",enjoei,Experiência com ingestão de dados em batch.O(a) engenheiro(a) de dados será responsável pela governança dos principais dados da empresa e por fornecê-los da…,https://tinyurl.com/y3ujap94
Engenheiro de Dados,"Curitiba, PR",Neodent,"Atuação em projetos de Big Data, preferencialmente na construção de camadas de ingestão de dados e/ou estruturação de dados.A gente faz o mundo sorrir.",https://tinyurl.com/y36kbmoe
Engenheiro de Dados GCP - Pleno,"Campinas, SP",Kumulus Cloud e Data,"Participação em projeto de dados;Noção de Arquitetura de Dados.Metodologias de Gestão de projeto Ágil.Conceitos de Datalake (Raw, Storage, History, Processed…",https://tinyurl.com/yxdw4ovs
Engenheiro de Dados PL,"Campinas, SP",JR Assessoria em RH,"Pelo menos 1 ano de experiência em garantia de qualidade e engenharia de teste com ETL, Hadoop ou similar;Experiência, teste de sistema OLAP e OLTP, teste de…",https://tinyurl.com/yyvq8t23
Analista de Eng. de Dados,"São Paulo, SP",PayGo Pagamentos,Melhorar a qualidade e eficiência de processos de envio e transformação de dados;Experiência técnica em modelagem de dados e técnicas de segmentação;,https://tinyurl.com/y3yc4ya5
Engenheiro(a) de Dados Python Sênior (Remoto),Brasil,GeekHunter,"Arquitetar e construir estruturas para análise e ciência de dados, integrando alto volume de dados captados em nossas várias fontes de dados;",https://tinyurl.com/y44j62gh
Engenheiro de Dados,"Ponta Grossa, PR",KMM,"Como Engenheiro de dados, você ajudará na criação de ferramentas e serviços de exploração de dados.Conhecimento de linguagens de programação relacionada a…",https://tinyurl.com/y6tqveag
Engenheiro de Dados,"Jaraguá do Sul, SC",UpFlux Process Mining,Aplicar e disseminar uma cultura de melhores práticas de engenharia e arquitetura de software e dados;O volume de dados e criticidade dos casos de uso da…,https://tinyurl.com/y33wzzm4
Engenheiro de Dados,"Brasília, DF",Lanlink Informática,Colaborar com a equipe de Ciência de Dados para desenvolver soluções baseadas no ecossistema de dados da Microsoft.Conhecimento em soluções de dados do Azure.,https://tinyurl.com/y533wfaw
Engenheiro de Dados Junior,"São Paulo, SP",Avec,Realizar integração de produto de dados;Experiência em modelagem de banco de dados;Experiência de banco de dados SQL e NOSQL;Atuar na melhorias do Data Lake;,https://tinyurl.com/y3726quq
Engenheiro(a) de Dados - AWS,"São Paulo, SP",Consultoria EP,Atribuições: - Monitorar performance e sugerir mudanças de infraestrutura; - Gerenciar processos da AWS tanto de infra como de aplicações.,https://tinyurl.com/y3hum56h
Engenheiro de Dados - Sênior | Python & Spark,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Atuar de forma consultiva na Ingestão e tratamento de dados com Python e Spark;,https://tinyurl.com/y6pvkpl4
Engenheiro de Dados,"Joinville, SC",ASAAS,Experiência com banco de dados relacionais.Criar soluções para as necessidades de dados da companhia.O Asaas é uma plataforma de emissão e gestão de cobranças…,https://tinyurl.com/y2w8xqyv
